,Date,SP500 - Price,SP500 - Log-Return,squared_log_ret
"189-1",1950-10-03,19.66,-0.0015248287192139998,2.3251026229398067e-06
"190-1",1950-10-04,20,0.017146158834970393,0.00029399076279403328
"191-1",1950-10-05,19.889999,-0.005515230964632245,3.0417772593238324e-05
"192-1",1950-10-06,20.120000999999998,0.011497352343967648,0.00013218911092133839
"193-1",1950-10-09,20,-0.0059821213793354033,3.5785776197101707e-05
"194-1",1950-10-10,19.780000999999999,-0.011060896803309017,0.00012234343809345164
"195-1",1950-10-11,19.860001,0.0040363322188108341,1.6291977780610392e-05
"196-1",1950-10-13,19.850000000000001,-0.0005037018362932244,2.5371553988516625e-07
"197-1",1950-10-16,19.709999,-0.0070779367042392849,5.009718798921767e-05
"198-1",1950-10-17,19.889999,0.0090909721603984472,8.2645774821139614e-05
"199-1",1950-10-18,20.010000000000002,0.0060151060062834105,3.6181500266826762e-05
"200-1",1950-10-19,20.02,0.00049962529143243728,2.496254318389479e-07
"201-1",1950-10-20,19.959999,-0.003001553103957999,9.0093210358798983e-06
"202-1",1950-10-23,19.959999,0,0
"203-1",1950-10-24,20.079999999999998,0.0059940740404118564,3.5928923601939319e-05
"204-1",1950-10-25,20.049999,-0.0014951909462630475,2.2355959657869875e-06
"205-1",1950-10-26,19.610001,-0.022189412674621156,0.00049237003484463803
"206-1",1950-10-27,19.77,0.008125945979881255,6.6030998067948332e-05
"207-1",1950-10-30,19.610001,-0.008125945979881255,6.6030998067948332e-05
"208-1",1950-10-31,19.530000999999999,-0.0040878951107807815,1.6710886436745419e-05
"209-1",1950-11-01,19.559999000000001,0.0015348173900622264,2.3556644208374245e-06
"210-1",1950-11-02,19.73,0.0086537065525984502,7.4886637098485351e-05
"211-1",1950-11-03,19.850000000000001,0.006063687098675441,3.6768301230642987e-05
"212-1",1950-11-06,19.360001,-0.024994873631877024,0.00062474370787350133
"213-1",1950-11-08,19.559999000000001,0.010277479980603133,0.00010562659475169816
"214-1",1950-11-09,19.790001,0.011690196663118435,0.0001366606980223854
"215-1",1950-11-10,19.940000999999999,0.0075510045390982938,5.7017669549483036e-05
"216-1",1950-11-13,20.010000000000002,0.0035043339114997352,1.2280356163287034e-05
"217-1",1950-11-14,19.860001,-0.0075244396261493485,5.6617191687566546e-05
"218-1",1950-11-15,19.82,-0.0020161800676508079,4.0649820651924168e-06
"219-1",1950-11-16,19.719999000000001,-0.00505823043729281,2.5585695156755411e-05
"220-1",1950-11-17,19.860001,0.0070744105049436179,5.0047283992456617e-05
"221-1",1950-11-20,19.93,0.0035184252552107331,1.2379316276504713e-05
"222-1",1950-11-21,19.879999000000002,-0.0025119832980875501,6.3100600898708053e-06
"223-1",1950-11-22,20.16,0.013986292276551904,0.00019561637164513542
"224-1",1950-11-24,20.32,0.0079051795071132247,6.2491863039682886e-05
"225-1",1950-11-27,20.18,-0.0069136077848179767,4.7797972602295729e-05
"226-1",1950-11-28,19.559999000000001,-0.03120540144353745,0.0009737770792523292
"227-1",1950-11-29,19.370000999999998,-0.0097610844367963523,9.5278769382267956e-05
"228-1",1950-11-30,19.510000000000002,0.0072016255898907922,5.1863411136969902e-05
"229-1",1950-12-01,19.66,0.0076589600840004657,5.8659669568312418e-05
"230-1",1950-12-04,19,-0.034147135552580199,0.0011660268664462866
"231-1",1950-12-05,19.309999000000001,0.016184065487342636,0.00026192397569859506
"232-1",1950-12-06,19.450001,0.0072240768245528386,5.2187285967041422e-05
"233-1",1950-12-07,19.399999999999999,-0.0025740554090534218,6.6257612488771782e-06
"234-1",1950-12-08,19.399999999999999,0,0
"235-1",1950-12-11,19.719999000000001,0.016360232395266738,0.00026765720402713522
"236-1",1950-12-12,19.68,-0.0020304068404417563,4.1225519377126755e-06
"237-1",1950-12-13,19.670000000000002,-0.00050825922313935123,2.5832743790621681e-07
"238-1",1950-12-14,19.43,-0.012276369011619437,0.00015070923610944998
"239-1",1950-12-15,19.329999999999998,-0.0051599701691089628,2.6625292146094378e-05
"240-1",1950-12-18,19.850000000000001,0.026545713912959901,0.00070467492714871281
"241-1",1950-12-19,19.959999,0.0055262136499170111,3.0539037304529095e-05
"242-1",1950-12-20,19.969999000000001,0.00050087656949360237,2.5087733786767949e-07
"243-1",1950-12-21,19.98,0.00050067586779745099,2.506763245947306e-07
"244-1",1950-12-22,20.07,0.0044943895878390983,2.0199537767276501e-05
"245-1",1950-12-26,19.920000000000002,-0.0075019106517943968,5.6278663427506228e-05
"246-1",1950-12-27,20.299999,0.018896584630204494,0.00035708091068648072
"247-1",1950-12-28,20.379999000000002,0.0039331419402075518,1.5469605521819626e-05
"248-1",1950-12-29,20.43,0.0024504301026664344,6.0046076880538323e-06
"249-1",1951-01-02,20.77,0.016505229058490389,0.00027242258627323555
"250-1",1951-01-03,20.690000999999999,-0.003859097798042832,1.4892635814859035e-05
"251-1",1951-01-04,20.870000999999998,0.0086622289147983977,7.5034209772369424e-05
"252-1",1951-01-05,20.870000999999998,0,0
"253-1",1951-01-08,21,0.0062096687186463662,3.8559985595335205e-05
"254-1",1951-01-09,21.120000999999998,0.0056980684631211531,3.2467984210415857e-05
"255-1",1951-01-10,20.850000000000001,-0.012866557941733525,0.00016554831326798605
"256-1",1951-01-11,21.190000999999999,0.016175471227467764,0.00026164586943063748
"257-1",1951-01-12,21.110001,-0.0037825102411361833,1.4307383724300107e-05
"258-1",1951-01-15,21.299999,0.0089601165358792478,8.0283688336536726e-05
"259-1",1951-01-16,21.459999,0.0074836648372071934,5.600523939565137e-05
"260-1",1951-01-17,21.549999,0.0041850795418145736,1.7514890771314883e-05
"261-1",1951-01-18,21.399999999999999,-0.0069848481182375188,4.878810323484621e-05
"262-1",1951-01-19,21.360001,-0.0018708611193334335,3.5001213278335475e-06
"263-1",1951-01-22,21.18,-0.008462720735211704,7.1617642242182127e-05
"264-1",1951-01-23,21.260000000000002,0.0037700327405412182,1.4213146864752728e-05
"265-1",1951-01-24,21.16,-0.0047147659237030126,2.2229017715311121e-05
"266-1",1951-01-25,21.030000999999999,-0.0061625697243741229,3.7977265607772551e-05
"267-1",1951-01-26,21.260000000000002,0.010877335648077135,0.00011831643080092963
"268-1",1951-01-29,21.670000000000002,0.019101442634466004,0.00036486511071779552
"269-1",1951-01-30,21.739999999999998,0.0032250661447954521,1.04010516383058e-05
"270-1",1951-01-31,21.66,-0.0036866401202186871,1.3591315376006056e-05
"271-1",1951-02-01,21.77,0.0050656336736114582,2.5660644515226316e-05
"272-1",1951-02-02,21.959999,0.0086896958575319871,7.5510814096408572e-05
"273-1",1951-02-05,22.200001,0.010869762819289974,0.00011815174374761872
"274-1",1951-02-06,22.120000999999998,-0.0036101120611884419,1.303290909433826e-05
"275-1",1951-02-07,21.989999999999998,-0.0058944172954196183,3.4744155252541927e-05
"276-1",1951-02-08,22.09,0.0045372128653560218,2.0586300585552202e-05
"277-1",1951-02-09,22.170000000000002,0.0036150061961941482,1.3068269798522085e-05
"278-1",1951-02-13,22.18,0.0004509582940008805,2.0336338292818458e-07
"279-1",1951-02-14,22.120000999999998,-0.0027087600601314321,7.3373810633632398e-06
"280-1",1951-02-15,22,-0.0054397685037734789,2.9591081374645952e-05
"281-1",1951-02-16,22.129999000000002,0.0058916555171131257,3.4711604732329534e-05
"282-1",1951-02-19,21.829999999999998,-0.013648938313576942,0.00018629351708782856
"283-1",1951-02-20,21.790001,-0.0018339757127137091,3.363466914823757e-06
"284-1",1951-02-21,21.860001,0.0032073336449069956,1.0286989109752393e-05
"285-1",1951-02-23,21.920000000000002,0.0027409335857693229,7.512716921598278e-06
"286-1",1951-02-26,21.93,0.00045610034998189164,2.0802752925360405e-07
"287-1",1951-02-27,21.760000000000002,-0.0077821404420546081,6.0561709859861889e-05
"288-1",1951-02-28,21.799999,0.0018365019357404755,3.3727393599785137e-06
"289-1",1951-03-01,21.850000000000001,0.0022909976181164637,5.2486700862153102e-06
"290-1",1951-03-02,21.93,0.0036546408881976689,1.3356400021686245e-05
"291-1",1951-03-05,21.790001,-0.0064043675806582101,4.1015924108185894e-05
"292-1",1951-03-06,21.790001,0,0
"293-1",1951-03-07,21.860001,0.0032073336449069956,1.0286989109752393e-05
"294-1",1951-03-08,21.950001,0.004108656585220416,1.688105893527509e-05
"295-1",1951-03-09,21.950001,0,0
"296-1",1951-03-12,21.700001,-0.011454878449904005,0.00013121424030207516
"297-1",1951-03-13,21.41,-0.013454204027770533,0.00018101560602087685
"298-1",1951-03-14,21.25,-0.0075012072311655409,5.6268109924890199e-05
"299-1",1951-03-15,21.290001,0.0018806305053695738,3.5367710977266186e-06
"300-1",1951-03-16,21.639999,0.016305881891763185,0.00026588178426813057
"301-1",1951-03-19,21.559999000000001,-0.0037037081089525969,1.3717453756321221e-05
"302-1",1951-03-20,21.52,-0.0018569643650225842,3.4483166529637295e-06
"303-1",1951-03-21,21.639999,0.0055606724739751812,3.0921078362825259e-05
"304-1",1951-03-22,21.73,0.0041503865007794793,1.722570810585253e-05
"305-1",1951-03-26,21.530000999999999,-0.0092464364452493619,8.5496586936035658e-05
"306-1",1951-03-27,21.510000000000002,-0.00092941454344996899,8.6381139357631426e-07
"307-1",1951-03-28,21.260000000000002,-0.011690570365836983,0.00013666943547858585
"308-1",1951-03-29,21.329999999999998,0.0032871595694574651,1.0805418035075788e-05
"309-1",1951-03-30,21.48,0.0070077371574046587,4.9108380067269924e-05
"310-1",1951-04-02,21.32,-0.0074766703430202419,5.5900599418198423e-05
"311-1",1951-04-03,21.260000000000002,-0.002818226383841882,7.9423999505824906e-06
"312-1",1951-04-04,21.399999999999999,0.0065635491140039193,4.3080176971941632e-05
"313-1",1951-04-05,21.690000999999999,0.013460448915171508,0.00018118368499794182
"314-1",1951-04-06,21.719999000000001,0.0013820780822406675,1.9101398254100415e-06
"315-1",1951-04-09,21.68,-0.001843272453772471,3.3976533388363862e-06
"316-1",1951-04-10,21.649999999999999,-0.0013847221229466022,1.9174553577777448e-06
"317-1",1951-04-11,21.639999,-0.00046204668094018686,2.1348713536784285e-07
"318-1",1951-04-12,21.829999999999998,0.0087417627942936171,7.6418416751696154e-05
"319-1",1951-04-13,22.09,0.011839846870173698,0.00014018197390916191
"320-1",1951-04-16,22.040001,-0.0022659877752624347,5.134700597638798e-06
"321-1",1951-04-17,22.09,0.0022659877752624347,5.134700597638798e-06
"322-1",1951-04-18,22.129999000000002,0.0018090914434032435,3.2728118505948308e-06
